name,ra,dec
Recommending Virtuous Men,"[194.91465, 194.91465]","[-3.811926, -3.811926]"
Accumulated Water,"[110.51095500000001, 110.51095500000001]","[36.760584, 36.760584]"
Nine Water Wells,"[318.05709, 318.05709]","[-40.269362, -40.269362]"
Nine Senior Officers,"[190.471065, 191.40441, 191.40441, 189.281745]","[10.235625, 7.673326, 7.673326, 8.796868]"
Imperial Military Flag,"[69.30697500000001, 71.375625, 71.375625, 73.223625, 73.223625, 74.96021999999999, 74.96021999999999, 74.98223999999999, 74.98223999999999, 72.5484, 72.5484, 71.901195, 71.901195, 70.110465, 70.110465, 75.68742]","[0.998314, -3.254657, -3.254657, -5.452695, -5.452695, -10.263325, -10.263325, -12.537416, -12.537416, -16.217159, -16.217159, -16.934456, -16.934456, -19.671493, -19.671493, -22.795052]"
Interpreters of Nine Dialects,"[63.59871, 62.966415, 62.966415, 65.920215, 65.920215, 69.079755, 69.079755, 71.022165, 71.022165, 70.89477]","[-10.256283, -6.837581, -6.837581, -3.74547, -3.74547, -3.352459, -3.352459, -8.503571, -8.503571, -8.794317]"
Banner of Wine Shop,"[145.93293, 142.98641999999998, 142.98641999999998, 142.11417]","[14.021692, 11.299827, 11.299827, 9.056778]"
Mortar,"[335.33058, 331.752705, 331.752705, 326.16137999999995, 326.16137999999995, 326.03565000000003]","[28.330529, 25.345112, 25.345112, 25.645036, 25.645036, 28.742632]"
Rolled Tongue,"[56.298480000000005, 59.46345, 59.46345, 59.741249999999994, 59.741249999999994, 58.533, 58.533, 56.07972, 56.07972, 55.594364999999996]","[42.578549, 40.010215, 40.010215, 35.791033, 35.791033, 31.883635, 31.883635, 32.288248, 32.288248, 33.965026]"
Military Well,"[78.074595, 78.30783, 78.30783, 79.893855, 79.893855, 79.99593]","[-11.869219, -12.941291, -12.941291, -13.176788, -13.176788, -12.315585]"
Southern Military Gate,"[17.37552, 17.37552]","[47.241792, 47.241792]"
