name,ra,dec
Vela,"[161.69232, 149.21562, 149.21562, 140.52843000000001, 140.52843000000001, 131.175885, 131.175885, 122.38314, 122.38314, 136.99902, 136.99902, 142.67511, 142.67511, 153.684105, 153.684105, 161.69232]","[-49.420255, -54.56779, -54.56779, -55.010668, -55.010668, -54.708821, -54.708821, -47.336588, -47.336588, -43.432589, -43.432589, -40.466769, -40.466769, -42.121942, -42.121942, -49.420255]"
Carina,"[95.98792499999999, 119.194695, 119.194695, 125.62853999999999, 125.62853999999999, 139.27257, 139.27257, 160.739235, 160.739235, 153.434415, 153.434415, 138.300615, 138.300615, 146.77554, 146.77554, 139.27257]","[-52.69566, -52.98236, -52.98236, -59.509483, -59.509483, -59.275229, -59.275229, -64.39445, -64.39445, -70.037903, -70.037903, -69.717208, -69.717208, -65.072007, -65.072007, -59.275229]"
Pictor,"[102.04791, 87.456765, 87.456765, 86.821185]","[-61.941391, -56.166663, -56.166663, -51.066514]"
Dorado,"[64.00645499999999, 68.49897, 68.49897, 83.40631499999999, 83.40631499999999, 86.193345]","[-51.486648, -55.044975, -55.044975, -62.489825, -62.489825, -65.735526]"
Reticulum,"[63.60606, 56.048895, 56.048895, 59.686425, 59.686425, 64.12107, 64.12107, 63.60606]","[-62.473858, -64.806903, -64.806903, -61.400185, -61.400185, -59.302156, -59.302156, -62.473858]"
Phoenix,"[6.5708400000000005, 6.55074, 6.55074, 16.521105, 16.521105, 22.091385, 22.091385, 22.812765, 22.812765, 17.096130000000002, 17.096130000000002, 16.521105, 6.55074, 2.35254]","[-42.305981, -43.679829, -43.679829, -46.718414, -46.718414, -43.318234, -43.318234, -49.072702, -49.072702, -55.24576, -55.24576, -46.718414, -43.679829, -45.747426]"
Tucana,"[334.625565, 349.35747, 349.35747, 7.885875, 7.885875, 5.01213, 5.01213, 359.97891, 359.97891, 336.832965, 336.832965, 334.625565]","[-60.259587, -58.235734, -58.235734, -62.958218, -62.958218, -64.874791, -64.874791, -65.577132, -65.577132, -64.966354, -64.966354, -60.259587]"
Grus,"[328.48212, 331.52871, 331.52871, 333.903795, 334.110675, 337.317375, 337.317375, 332.058135, 337.439325, 340.666725, 340.666725, 342.13858500000003, 342.13858500000003, 345.220155]","[-37.364852, -39.543353, -39.543353, -41.3467, -41.627225, -43.495565, -43.495565, -46.960975, -43.749224, -46.884577, -46.884577, -51.316864, -51.316864, -52.754137]"
Indus,"[309.39173999999997, 319.96644, 319.96644, 329.479395, 319.96644, 313.70247]","[-47.291502, -53.449427, -53.449427, -54.992575, -53.449427, -58.454155]"
Hydrus,"[29.691765, 6.418740000000001, 6.418740000000001, 56.809425, 56.809425, 29.691765]","[-61.569859, -77.254247, -77.254247, -74.238962, -74.238962, -61.569859]"
